horizon,lookback,alpha,train_da,test_da,test_signals
30,3,0.2,90.41450777202073,92.69662921348315,356
30,3,0.3,90.50086355785838,92.69662921348315,356
30,3,0.4,90.67357512953367,92.69662921348315,356
30,3,0.5,90.67357512953367,92.69662921348315,356
30,4,0.2,90.75993091537133,92.97752808988764,356
30,4,0.3,90.75993091537133,92.97752808988764,356
30,4,0.4,90.67357512953367,92.97752808988764,356
30,4,0.5,90.75993091537133,92.69662921348315,356
30,5,0.2,90.41450777202073,92.13483146067416,356
30,5,0.3,90.50086355785838,92.97752808988764,356
30,5,0.4,90.67357512953367,92.97752808988764,356
30,5,0.5,90.75993091537133,92.97752808988764,356
30,6,0.2,90.41450777202073,92.13483146067416,356
30,6,0.3,90.50086355785838,92.69662921348315,356
30,6,0.4,90.58721934369602,92.97752808988764,356
30,6,0.5,90.84628670120898,92.69662921348315,356
30,7,0.2,90.41450777202073,92.13483146067416,356
30,7,0.3,90.58721934369602,92.41573033707866,356
30,7,0.4,90.67357512953367,92.97752808988764,356
30,7,0.5,90.84628670120898,92.69662921348315,356
30,8,0.2,90.32815198618307,91.85393258426966,356
30,8,0.3,90.50086355785838,92.41573033707866,356
30,8,0.4,90.75993091537133,92.97752808988764,356
30,8,0.5,90.84628670120898,92.69662921348315,356
30,10,0.2,90.15544041450777,92.13483146067416,356
30,10,0.3,90.41450777202073,92.41573033707866,356
30,10,0.4,90.93264248704664,92.97752808988764,356
30,10,0.5,90.93264248704664,92.69662921348315,356
30,12,0.2,90.15544041450777,91.85393258426966,356
30,12,0.3,90.50086355785838,92.13483146067416,356
30,12,0.4,90.93264248704664,92.97752808988764,356
30,12,0.5,90.93264248704664,92.69662921348315,356
30,15,0.2,90.32815198618307,91.85393258426966,356
30,15,0.3,90.58721934369602,92.13483146067416,356
30,15,0.4,91.01899827288429,92.97752808988764,356
30,15,0.5,91.01899827288429,92.69662921348315,356
60,3,0.2,94.67980295566502,83.0379746835443,395
60,3,0.3,94.67980295566502,83.0379746835443,395
60,3,0.4,94.8768472906404,83.54430379746836,395
60,3,0.5,94.97536945812809,83.29113924050633,395
60,4,0.2,94.7731755424063,84.05063291139241,395
60,4,0.3,94.7731755424063,83.79746835443038,395
60,4,0.4,94.87179487179486,83.79746835443038,395
60,4,0.5,94.97041420118343,84.05063291139241,395
60,5,0.2,94.9654491609082,84.55696202531645,395
60,5,0.3,94.9654491609082,84.55696202531645,395
60,5,0.4,94.9654491609082,84.55696202531645,395
60,5,0.5,95.06416584402764,84.30379746835443,395
60,6,0.2,95.15810276679841,84.30379746835443,395
60,6,0.3,95.15810276679841,84.81012658227847,395
60,6,0.4,95.15810276679841,84.55696202531645,395
60,6,0.5,95.35573122529645,84.30379746835443,395
60,7,0.2,95.0544015825915,83.79746835443038,395
60,7,0.3,95.25222551928783,84.55696202531645,395
60,7,0.4,95.25222551928783,84.55696202531645,395
60,7,0.5,95.35113748763601,84.30379746835443,395
60,8,0.2,95.14851485148515,83.54430379746836,395
60,8,0.3,95.34653465346534,84.30379746835443,395
60,8,0.4,95.44554455445544,84.05063291139241,395
60,8,0.5,95.54455445544554,84.30379746835443,395
60,10,0.2,95.03968253968253,83.29113924050633,395
60,10,0.3,95.53571428571429,84.05063291139241,395
60,10,0.4,95.73412698412699,84.05063291139241,395
60,10,0.5,95.83333333333334,84.55696202531645,395
60,12,0.2,95.2286282306163,83.29113924050633,395
60,12,0.3,95.72564612326043,84.05063291139241,395
60,12,0.4,95.92445328031809,84.30379746835443,395
60,12,0.5,95.92445328031809,84.55696202531645,395
60,15,0.2,95.21435692921236,83.29113924050633,395
60,15,0.3,96.01196410767697,84.05063291139241,395
60,15,0.4,96.21136590229312,84.30379746835443,395
