id,n_predict,run_date,prediction,metric,signal,accuracy,avg_abs_accuracy,fetch_date
545.0,30,2021-01-01T00:00:00.000,39.147,0.647,1,0.0,0.0,2021-01-01
997.0,30,2021-01-01T00:00:00.000,40.42,1.92,1,0.488,0.858,2021-01-01
544.0,60,2021-01-01T00:00:00.000,39.694,1.194,1,0.0,0.0,2021-01-01
543.0,90,2021-01-01T00:00:00.000,39.257,0.757,1,0.0,0.0,2021-01-01
990.0,180,2021-01-01T00:00:00.000,43.247,4.747,1,0.672,0.82,2021-01-01
991.0,180,2021-01-01T00:00:00.000,41.95,3.45,1,0.78,0.843,2021-01-01
541.0,270,2021-01-01T00:00:00.000,38.581,0.081,1,0.0,0.0,2021-01-01
1315.0,360,2021-01-01T00:00:00.000,40.15,1.65,1,0.0,0.697,2021-01-01
1312.0,450,2021-01-01T00:00:00.000,44.273,5.773,1,0.0,0.0,2021-01-01
1313.0,450,2021-01-01T00:00:00.000,42.443,3.943,1,0.0,0.0,2021-01-01
545.0,30,2021-01-08T00:00:00.000,39.507,-0.493,-1,0.0,0.0,2021-01-08
997.0,30,2021-01-08T00:00:00.000,42.347,2.347,1,0.499,0.859,2021-01-08
544.0,60,2021-01-08T00:00:00.000,40.85,0.85,1,0.0,0.0,2021-01-08
543.0,90,2021-01-08T00:00:00.000,43.019,3.019,1,0.0,0.0,2021-01-08
990.0,180,2021-01-08T00:00:00.000,43.692,3.692,1,0.684,0.815,2021-01-08
991.0,180,2021-01-08T00:00:00.000,43.561,3.561,1,0.788,0.836,2021-01-08
541.0,270,2021-01-08T00:00:00.000,39.223,-0.777,-1,0.0,0.0,2021-01-08
1315.0,360,2021-01-08T00:00:00.000,42.266,2.266,1,0.077,0.731,2021-01-08
1312.0,450,2021-01-08T00:00:00.000,44.008,4.008,1,0.0,0.0,2021-01-08
1313.0,450,2021-01-08T00:00:00.000,44.989,4.989,1,0.0,0.0,2021-01-08
545.0,30,2021-01-15T00:00:00.000,43.971,1.471,1,0.0,0.0,2021-01-15
997.0,30,2021-01-15T00:00:00.000,45.153,2.653,1,0.509,0.861,2021-01-15
544.0,60,2021-01-15T00:00:00.000,45.878,3.378,1,0.0,0.0,2021-01-15
543.0,90,2021-01-15T00:00:00.000,46.617,4.117,1,0.0,0.0,2021-01-15
