horizon,lookback,alpha,train_da,test_da,test_signals
30,3,0.2,90.50086355785838,92.52873563218391,348
30,3,0.3,90.50086355785838,92.52873563218391,348
30,3,0.4,90.67357512953367,92.52873563218391,348
30,3,0.5,90.67357512953367,92.52873563218391,348
30,4,0.2,90.67357512953367,92.81609195402298,348
30,4,0.3,90.67357512953367,92.81609195402298,348
30,4,0.4,90.67357512953367,92.81609195402298,348
30,4,0.5,90.75993091537133,92.52873563218391,348
30,5,0.2,90.41450777202073,91.95402298850574,348
30,5,0.3,90.50086355785838,92.81609195402298,348
30,5,0.4,90.67357512953367,92.81609195402298,348
30,5,0.5,90.75993091537133,92.81609195402298,348
30,6,0.2,90.41450777202073,91.95402298850574,348
30,6,0.3,90.50086355785838,92.52873563218391,348
30,6,0.4,90.58721934369602,92.81609195402298,348
30,6,0.5,90.84628670120898,92.52873563218391,348
30,7,0.2,90.41450777202073,91.95402298850574,348
30,7,0.3,90.58721934369602,92.24137931034483,348
30,7,0.4,90.67357512953367,92.81609195402298,348
30,7,0.5,90.84628670120898,92.52873563218391,348
30,8,0.2,90.32815198618307,91.66666666666666,348
30,8,0.3,90.50086355785838,92.24137931034483,348
30,8,0.4,90.75993091537133,92.81609195402298,348
30,8,0.5,90.84628670120898,92.52873563218391,348
30,10,0.2,90.15544041450777,91.95402298850574,348
30,10,0.3,90.41450777202073,92.24137931034483,348
30,10,0.4,90.93264248704664,92.81609195402298,348
30,10,0.5,90.93264248704664,92.52873563218391,348
30,12,0.2,90.15544041450777,91.66666666666666,348
30,12,0.3,90.50086355785838,91.95402298850574,348
30,12,0.4,90.93264248704664,92.81609195402298,348
30,12,0.5,90.93264248704664,92.52873563218391,348
30,15,0.2,90.32815198618307,91.66666666666666,348
30,15,0.3,90.58721934369602,91.95402298850574,348
30,15,0.4,91.01899827288429,92.81609195402298,348
30,15,0.5,91.01899827288429,92.52873563218391,348
60,3,0.2,94.67980295566502,82.32189973614776,379
60,3,0.3,94.67980295566502,82.32189973614776,379
60,3,0.4,94.8768472906404,82.84960422163589,379
60,3,0.5,94.97536945812809,82.58575197889182,379
60,4,0.2,94.7731755424063,83.11345646437994,379
60,4,0.3,94.7731755424063,83.11345646437994,379
60,4,0.4,94.87179487179486,83.11345646437994,379
60,4,0.5,94.97041420118343,83.37730870712402,379
60,5,0.2,94.9654491609082,83.90501319261213,379
60,5,0.3,94.9654491609082,83.90501319261213,379
60,5,0.4,94.9654491609082,83.90501319261213,379
60,5,0.5,95.06416584402764,83.64116094986808,379
60,6,0.2,95.15810276679841,83.64116094986808,379
60,6,0.3,95.15810276679841,84.1688654353562,379
60,6,0.4,95.15810276679841,83.90501319261213,379
60,6,0.5,95.35573122529645,83.64116094986808,379
60,7,0.2,95.0544015825915,83.11345646437994,379
60,7,0.3,95.25222551928783,83.90501319261213,379
60,7,0.4,95.25222551928783,83.90501319261213,379
60,7,0.5,95.35113748763601,83.64116094986808,379
60,8,0.2,95.14851485148515,82.84960422163589,379
60,8,0.3,95.34653465346534,83.64116094986808,379
60,8,0.4,95.44554455445544,83.37730870712402,379
60,8,0.5,95.54455445544554,83.64116094986808,379
60,10,0.2,95.03968253968253,82.58575197889182,379
60,10,0.3,95.53571428571429,83.37730870712402,379
60,10,0.4,95.73412698412699,83.37730870712402,379
60,10,0.5,95.83333333333334,83.90501319261213,379
60,12,0.2,95.2286282306163,82.58575197889182,379
60,12,0.3,95.72564612326043,83.37730870712402,379
60,12,0.4,95.92445328031809,83.64116094986808,379
60,12,0.5,95.92445328031809,83.90501319261213,379
60,15,0.2,95.21435692921236,82.58575197889182,379
60,15,0.3,96.01196410767697,83.37730870712402,379
60,15,0.4,96.21136590229312,83.64116094986808,379
60,15,0.5,96.21136590229312,83.90501319261213,379
90,3,0.2,85.52164655784244,87.83068783068782,378
90,3,0.3,85.59261887863732,87.83068783068782,378
90,3,0.4,85.59261887863732,88.09523809523809,378
90,3,0.5,85.66359119943222,88.09523809523809,378
90,4,0.2,85.6534090909091,87.56613756613757,378
90,4,0.3,85.6534090909091,87.83068783068782,378
90,4,0.4,85.72443181818183,88.09523809523809,378
90,4,0.5,85.79545454545455,88.35978835978835,378
90,5,0.2,85.78535891968728,87.83068783068782,378
90,5,0.3,85.85643212508884,88.09523809523809,378
90,5,0.4,85.9275053304904,88.35978835978835,378
90,5,0.5,85.9275053304904,88.88888888888889,378
90,6,0.2,85.56187766714083,87.3015873015873,378
90,6,0.3,85.70412517780939,88.09523809523809,378
90,6,0.4,85.91749644381224,88.62433862433863,378
90,6,0.5,85.91749644381224,89.15343915343915,378
90,7,0.2,85.48042704626334,86.77248677248677,378
90,7,0.3,85.48042704626334,88.09523809523809,378
90,7,0.4,85.83629893238434,88.62433862433863,378
90,7,0.5,85.97864768683274,89.15343915343915,378
90,8,0.2,85.47008547008546,86.77248677248677,378
90,8,0.3,85.54131054131055,87.83068783068782,378
90,8,0.4,85.8974358974359,88.62433862433863,378
90,8,0.5,85.96866096866097,89.15343915343915,378
90,10,0.2,85.30670470756063,85.97883597883597,378
90,10,0.3,85.59201141226819,87.3015873015873,378
90,10,0.4,85.87731811697576,88.62433862433863,378
90,10,0.5,85.94864479315264,89.15343915343915,378
90,12,0.2,85.28571428571429,85.71428571428571,378
90,12,0.3,85.57142857142857,87.03703703703704,378
90,12,0.4,85.85714285714286,88.62433862433863,378
90,12,0.5,85.92857142857143,89.15343915343915,378
90,15,0.2,85.25411596277738,85.44973544973546,378
90,15,0.3,85.4688618468146,87.03703703703704,378
90,15,0.4,85.8267716535433,88.62433862433863,378
90,15,0.5,85.89835361488905,89.15343915343915,378
180,3,0.2,87.12759977515458,86.01583113456465,379
180,3,0.3,87.12759977515458,86.01583113456465,379
180,3,0.4,87.24002248454188,86.01583113456465,379
180,3,0.5,87.24002248454188,86.01583113456465,379
180,4,0.2,87.17660292463442,86.01583113456465,379
180,4,0.3,87.17660292463442,86.01583113456465,379
180,4,0.4,87.23284589426322,86.01583113456465,379
180,4,0.5,87.23284589426322,86.01583113456465,379
180,5,0.2,87.28193584693304,85.75197889182058,379
180,5,0.3,87.28193584693304,86.01583113456465,379
180,5,0.4,87.39448508722566,86.01583113456465,379
180,5,0.5,87.39448508722566,86.2796833773087,379
180,6,0.2,87.27477477477478,86.01583113456465,379
180,6,0.3,87.27477477477478,86.01583113456465,379
180,6,0.4,87.44369369369369,86.2796833773087,379
180,6,0.5,87.44369369369369,86.54353562005277,379
180,7,0.2,87.26760563380282,86.01583113456465,379
180,7,0.3,87.43661971830986,86.01583113456465,379
180,7,0.4,87.54929577464789,86.2796833773087,379
180,7,0.5,87.60563380281691,86.2796833773087,379
180,8,0.2,87.26042841037204,86.01583113456465,379
180,8,0.3,87.4859075535513,86.01583113456465,379
180,8,0.4,87.54227733934611,86.2796833773087,379
180,8,0.5,87.65501691093573,86.2796833773087,379
180,10,0.2,87.0840383530739,86.01583113456465,379
180,10,0.3,87.42244782853919,86.2796833773087,379
180,10,0.4,87.53525098702764,86.54353562005277,379
180,10,0.5,87.7044557247603,86.54353562005277,379
180,12,0.2,86.97123519458545,86.01583113456465,379
180,12,0.3,87.36604624929498,86.2796833773087,379
180,12,0.4,87.53525098702764,86.54353562005277,379
180,12,0.5,87.7044557247603,86.54353562005277,379
180,15,0.2,86.94915254237287,86.01583113456465,379
180,15,0.3,87.28813559322035,86.2796833773087,379
180,15,0.4,87.57062146892656,86.54353562005277,379
180,15,0.5,87.74011299435028,86.54353562005277,379
270,3,0.2,88.87353144436766,74.14248021108179,379
270,3,0.3,88.87353144436766,74.14248021108179,379
270,3,0.4,88.87353144436766,74.67018469656992,379
270,3,0.5,88.87353144436766,74.67018469656992,379
270,4,0.2,88.93499308437067,72.82321899736148,379
270,4,0.3,89.00414937759335,73.35092348284961,379
270,4,0.4,89.00414937759335,74.14248021108179,379
270,4,0.5,89.00414937759335,74.67018469656992,379
270,5,0.2,88.92733564013841,73.08707124010554,379
270,5,0.3,88.99653979238754,73.61477572559367,379
